day,date,rain,et
1,2014/4/24,0,0.4
2,2014/4/25,0,0.4
3,2014/4/26,0,0.4
4,2014/4/27,0,0.4
5,2014/4/28,0,0.4
6,2014/4/29,0,0.4
7,2014/4/30,0,0.4
8,2014/5/1,0,0.4
9,2014/5/2,0,0.4
10,2014/5/3,0,0.4
11,2014/5/4,0,0.4
12,2014/5/5,0,0.4
13,2014/5/6,0,0.4
14,2014/5/7,0,0.4
15,2014/5/8,0,0.4
16,2014/5/9,0,0.4
17,2014/5/10,0,0.4
18,2014/5/11,0,0.4
19,2014/5/12,0,0.4
20,2014/5/13,0,0.4
21,2014/5/14,0,0.4
22,2014/5/15,0,0.4
23,2014/5/16,0,0.4
24,2014/5/17,0,0.4
25,2014/5/18,0,0.4
26,2014/5/19,0,0.4
27,2014/5/20,0,0.4
28,2014/5/21,0,0.4
29,2014/5/22,0,0.4
30,2014/5/23,0,0.4
31,2014/5/24,0,0.4
32,2014/5/25,0,0.4
33,2014/5/26,0,0.4
34,2014/5/27,0,0.4
35,2014/5/28,0,0.4
36,2014/5/29,0,0.4
37,2014/5/30,0,0.4
38,2014/5/31,0,0.4
39,2014/6/1,0,0.4
40,2014/6/2,0,0.4
41,2014/6/3,0,0.4
42,2014/6/4,0,0.4
43,2014/6/5,0,0.4
44,2014/6/6,0,0.4
45,2014/6/7,0,0.4
46,2014/6/8,0,0.4
47,2014/6/9,0,0.4
48,2014/6/10,0,0.4
49,2014/6/11,0,0.4
50,2014/6/12,0,0.4
51,2014/6/13,0,0.4
52,2014/6/14,0,0.4
53,2014/6/15,0,0.4
54,2014/6/16,0,0.4
55,2014/6/17,0,0.4
56,2014/6/18,0,0.4
57,2014/6/19,0,0.4
58,2014/6/20,0,0.4
59,2014/6/21,0,0.4
60,2014/6/22,0,0.4
61,2014/6/23,0,0.4
62,2014/6/24,0,0.4
63,2014/6/25,0,0.4
64,2014/6/26,0,0.4
65,2014/6/27,0,0.4
66,2014/6/28,0,0.4
67,2014/6/29,0,0.4
68,2014/6/30,0,0.4
69,2014/7/1,0,0.4
70,2014/7/2,0,0.4
71,2014/7/3,0,0.4
72,2014/7/4,0,0.4
73,2014/7/5,0,0.4
74,2014/7/6,0,0.4
75,2014/7/7,0,0.4
76,2014/7/8,0,0.4
77,2014/7/9,0,0.4
78,2014/7/10,0,0.4
79,2014/7/11,0,0.4
80,2014/7/12,0,0.4
81,2014/7/13,0,0.4
82,2014/7/14,0,0.4
83,2014/7/15,0,0.4
84,2014/7/16,0,0.4
85,2014/7/17,0,0.4
86,2014/7/18,0,0.4
